$type,id,url,commonName,placeType,lat,lon
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_117,/Place/BikePoints_117,"Lollard Street, Vauxhall",BikePoint,51.49288,-0.114934
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_118,/Place/BikePoints_118,"Rochester Row, Westminster",BikePoint,51.495827,-0.135478
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_119,/Place/BikePoints_119,"Bath Street, St. Luke's",BikePoint,51.525893,-0.090847
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_120,/Place/BikePoints_120,"The Guildhall, Guildhall",BikePoint,51.515735,-0.09308
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_121,/Place/BikePoints_121,"Baker Street, Marylebone",BikePoint,51.518913,-0.156166
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_122,/Place/BikePoints_122,"Norton Folgate, Liverpool Street",BikePoint,51.521113,-0.078869
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_123,/Place/BikePoints_123,"St. John Street, Finsbury",BikePoint,51.52836,-0.104724
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_124,/Place/BikePoints_124,"Eaton Square, Belgravia",BikePoint,51.496544,-0.150905
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_125,/Place/BikePoints_125,"Borough High Street, The Borough",BikePoint,51.500694,-0.094524
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_126,/Place/BikePoints_126,"Museum of London, Barbican",BikePoint,51.517821,-0.096496
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_127,/Place/BikePoints_127,"Wood Street, Guildhall",BikePoint,51.517008,-0.093885
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_128,/Place/BikePoints_128,"Emperor's Gate, South Kensington",BikePoint,51.495362,-0.185296
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_129,/Place/BikePoints_129,"Golden Square, Soho",BikePoint,51.511897,-0.137043
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_130,/Place/BikePoints_130,"Tower Gardens , Tower",BikePoint,51.509506,-0.075459
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_131,/Place/BikePoints_131,"Eversholt Street , Camden Town",BikePoint,51.533005,-0.136792
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_132,/Place/BikePoints_132,"Bethnal Green Road, Shoreditch",BikePoint,51.523648,-0.074754
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_133,/Place/BikePoints_133,"Derry Street, Kensington",BikePoint,51.501364,-0.191462
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_134,/Place/BikePoints_134,"Wapping High Street, Wapping",BikePoint,51.504904,-0.06797
"Tfl.Api.Presentation.Entities.Place, Tfl.Api.Presentation.Entities",BikePoints_135,/Place/BikePoints_135,"Clerkenwell Green, Clerkenwell",BikePoint,51.52326,-0.104708
